942.1hPa	キュウヒャクヨンジュウニテンイチヘクトパスカル
京都府八幡市上津屋林	キョウトフヤワタシコウヅヤハヤシ
京都府八幡市上津屋南村	キョウトフヤワタシコウヅヤミナミムラ
京都府八幡市下奈良井関	キョウトフヤワタシシモナライゼキ
京都府八幡市下奈良一丁地	キョウトフヤワタシシモナライッチョウチ
京都府八幡市下奈良一丁堤	キョウトフヤワタシシモナライッチョウヅツミ
京都府八幡市下奈良今里	キョウトフヤワタシシモナライマザト
京都府八幡市下奈良奥垣内	キョウトフヤワタシシモナラオクガイト
京都府八幡市下奈良上三床	キョウトフヤワタシシモナラカミサンドコ
京都府八幡市下奈良上ノ段	キョウトフヤワタシシモナラカミノダン
京都府八幡市下奈良小宮	キョウトフヤワタシシモナラコミヤ
京都府八幡市下奈良榊	キョウトフヤワタシシモナラサカキ
京都府八幡市下奈良下三床	キョウトフヤワタシシモナラシモサンドコ
京都府八幡市下奈良新下	キョウトフヤワタシシモナラシンゲ
京都府八幡市下奈良隅田	キョウトフヤワタシシモナラスミダ
京都府八幡市下奈良竹垣内	キョウトフヤワタシシモナラタケガイト
京都府八幡市下奈良出垣内	キョウトフヤワタシシモナラデガイト
京都府八幡市下奈良蜻蛉尻	キョウトフヤワタシシモナラトンボジリ
京都府八幡市下奈良蜻蛉尻筋	キョウトフヤワタシシモナラトンボジリスジ
京都府八幡市下奈良中ノ坪	キョウトフヤワタシシモナラナカノツボ
京都府八幡市下奈良名越	キョウトフヤワタシシモナラナゴシ
京都府八幡市下奈良奈良元	キョウトフヤワタシシモナラナラモト
京都府八幡市下奈良二階堂	キョウトフヤワタシシモナラニカイドウ
京都府八幡市下奈良野神	キョウトフヤワタシシモナラノガミ
京都府八幡市下奈良南頭	キョウトフヤワタシシモナラミナミガシラ
京都府八幡市下奈良宮ノ道	キョウトフヤワタシシモナラミヤノミチ
京都府八幡市戸津荒堀	キョウトフヤワタシトウヅアラホリ
京都府八幡市戸津奥谷	キョウトフヤワタシトウヅオクタニ
京都府八幡市戸津北小路	キョウトフヤワタシトウヅキタショウジ
京都府八幡市戸津小中代	キョウトフヤワタシトウヅコナカダイ
京都府八幡市戸津正ノ竹	キョウトフヤワタシトウヅショウノタケ
京都府八幡市戸津谷ノ口	キョウトフヤワタシトウヅタニノクチ
京都府八幡市戸津蜻蛉尻	キョウトフヤワタシトウヅトンボジリ
京都府八幡市戸津堂田	キョウトフヤワタシトウヅドウデン
京都府八幡市戸津中垣内	キョウトフヤワタシトウヅナカガイト
京都府八幡市戸津中代	キョウトフヤワタシトウヅナカダイ
京都府八幡市戸津東代	キョウトフヤワタシトウヅヒガシダイ
京都府八幡市戸津東ノ口	キョウトフヤワタシトウヅヒガシノクチ
京都府八幡市戸津水戸城	キョウトフヤワタシトウヅミトシロ
京都府八幡市戸津南小路	キョウトフヤワタシトウヅミナミショウジ
京都府八幡市戸津南代	キョウトフヤワタシトウヅミナミダイ
京都府八幡科手	キョウトフヤワタシナデ
京都府八幡市西山足立	キョウトフヤワタシニシヤマアダチ
京都府八幡市西山丸尾	キョウトフヤワタシニシヤママルオ
京都府八幡市西山和気	キョウトフヤワタシニシヤマワキ
京都府八幡市野尻一庵	キョウトフヤワタシノジリイチアン
京都府八幡市野尻円ノ元	キョウトフヤワタシノジリエンノモト
京都府八幡市野尻北ノ口	キョウトフヤワタシノジリキタノクチ
京都府八幡市野尻倉掛	キョウトフヤワタシノジリクラカケ
京都府八幡市野尻正畑	キョウトフヤワタシノジリショウハタ
京都府八幡市野尻城究	キョウトフヤワタシノジリジョウギワ
京都府八幡市野尻土井ノ内	キョウトフヤワタシノジリドイノウチ
京都府八幡市橋本愛宕山	キョウトフヤワタシハシモトアタゴヤマ
京都府八幡市橋本意足	キョウトフヤワタシハシモトイソク
京都府八幡市橋本奥ノ町	キョウトフヤワタシハシモトオクノチョウ
京都府八幡市橋本北ノ町	キョウトフヤワタシハシモトキタノチョウ
京都府八幡市橋本興正	キョウトフヤワタシハシモトコウショウ
京都府八幡市橋本小金川	キョウトフヤワタシハシモトコガネガワ
京都府八幡市橋本米ノ尾	キョウトフヤワタシハシモトコメノオ
京都府八幡市橋本塩釜	キョウトフヤワタシハシモトシオガマ
京都府八幡市橋本尻江	キョウトフヤワタシハシモトシリエ
京都府八幡市橋本新石	キョウトフヤワタシハシモトシンセキ
京都府八幡市橋本狩尾	キョウトフヤワタシハシモトトガノオ
京都府八幡市橋本中ノ池尻	キョウトフヤワタシハシモトナカノイケジリ
京都府八幡市橋本中ノ町	キョウトフヤワタシハシモトナカノチョウ
京都府八幡市橋本西刈又	キョウトフヤワタシハシモトニシカリマタ
京都府八幡市橋本西山本	キョウトフヤワタシハシモトニシヤマモト
京都府八幡市橋本東刈又	キョウトフヤワタシハシモトヒガシカリマタ
京都府八幡市橋本東原	キョウトフヤワタシハシモトヒガシハラ
京都府八幡市橋本東山本	キョウトフヤワタシハシモトヒガシヤマモト
京都府八幡市橋本平野山	キョウトフヤワタシハシモトヒラノヤマ
京都府八幡市橋本向山	キョウトフヤワタシハシモトムカイヤマ
京都府八幡市橋本焼野	キョウトフヤワタシハシモトヤケノ
京都府八幡柴座	キョウトフヤワタシバザ
京都府八幡市松井栂谷	キョウトフヤワタシマツイトガダニ
京都府八幡清水井	キョウトフヤワタシミズイ
京都府八幡市美濃山一ノ谷	キョウトフヤワタシミノヤマイチノタニ
京都府八幡市美濃山井ノ元	キョウトフヤワタシミノヤマイノモト
京都府八幡市美濃山大塚	キョウトフヤワタシミノヤマオオツカ
京都府八幡市美濃山狐谷	キョウトフヤワタシミノヤマキツネダニ
京都府八幡市美濃山幸水	キョウトフヤワタシミノヤマコウスイ
京都府八幡市美濃山千原谷	キョウトフヤワタシミノヤマチハラダニ
京都府八幡市美濃山出口	キョウトフヤワタシミノヤマデグチ
京都府八幡市美濃山出島	キョウトフヤワタシミノヤマデジマ
京都府八幡市美濃山中尾	キョウトフヤワタシミノヤマナカオ
京都府八幡市美濃山西ノ口	キョウトフヤワタシミノヤマニシノクチ
京都府八幡市美濃山野神	キョウトフヤワタシミノヤマノガミ
京都府八幡市美濃山ヒル塚	キョウトフヤワタシミノヤマヒルヅカ
京都府八幡市美濃山古寺	キョウトフヤワタシミノヤマフルデラ
京都府八幡市美濃山細谷	キョウトフヤワタシミノヤマホソダニ
京都府八幡市美濃山宮ノ背	キョウトフヤワタシミノヤマミヤノセ
京都府八幡市美濃山宮道	キョウトフヤワタシミノヤマミヤミチ
京都府八幡市美濃山御幸	キョウトフヤワタシミノヤマミユキ
京都府八幡市美濃山御幸谷	キョウトフヤワタシミノヤマミユキダニ
京都府八幡市八幡安居塚	キョウトフヤワタシヤワタアンゴヅカ
京都府八幡市八幡池ノ首	キョウトフヤワタシヤワタイケノクビ
京都府八幡市八幡石不動	キョウトフヤワタシヤワタイシフドウ
京都府八幡市八幡一ノ坪	キョウトフヤワタシヤワタイチノツボ
京都府八幡市八幡今田	キョウトフヤワタシヤワタイマダ
京都府八幡市八幡植松	キョウトフヤワタシヤワタウエマツ
京都府八幡市八幡大芝	キョウトフヤワタシヤワタオオシバ
京都府八幡市八幡大谷	キョウトフヤワタシヤワタオオタニ
京都府八幡市八幡長田	キョウトフヤワタシヤワタオサダ
京都府八幡市八幡女郎花	キョウトフヤワタシヤワタオミナエシ
京都府八幡市八幡垣内山	キョウトフヤワタシヤワタカイトヤマ
京都府八幡市八幡カイトリ	キョウトフヤワタシヤワタカイトリ
京都府八幡市八幡柿木垣内	キョウトフヤワタシヤワタカキノキガイト
京都府八幡市八幡神原	キョウトフヤワタシヤワタカミハラ
京都府八幡市八幡河原崎	キョウトフヤワタシヤワタカワラザキ
京都府八幡市八幡岸本	キョウトフヤワタシヤワタキシモト
京都府八幡市八幡北浦	キョウトフヤワタシヤワタキタウラ
京都府八幡市八幡沓田	キョウトフヤワタシヤワタクツデン
京都府八幡市八幡久保田	キョウトフヤワタシヤワタクボタ
京都府八幡市八幡源氏垣外	キョウトフヤワタシヤワタゲンジガイト
京都府八幡市八幡源野	キョウトフヤワタシヤワタゲンノ
京都府八幡市八幡小西	キョウトフヤワタシヤワタコニシ
京都府八幡市八幡小松	キョウトフヤワタシヤワタコマツ
京都府八幡市八幡菰池	キョウトフヤワタシヤワタコモイケ
京都府八幡市八幡御幸谷	キョウトフヤワタシヤワタゴコウダニ
京都府八幡市八幡五反田	キョウトフヤワタシヤワタゴタンダ
京都府八幡市八幡御馬所	キョウトフヤワタシヤワタゴバショ
京都府八幡市八幡盛戸	キョウトフヤワタシヤワタサカンド
京都府八幡市八幡砂田	キョウトフヤワタシヤワタサデン
京都府八幡市八幡沢	キョウトフヤワタシヤワタサワ
京都府八幡市八幡三反長	キョウトフヤワタシヤワタサンダオサ
京都府八幡市八幡三ノ甲	キョウトフヤワタシヤワタサンノコウ
京都府八幡市八幡三本橋	キョウトフヤワタシヤワタサンボンバシ
京都府八幡市八幡在応寺	キョウトフヤワタシヤワタザイオウジ
京都府八幡市八幡式部谷	キョウトフヤワタシヤワタシキブダニ
京都府八幡市八幡科手	キョウトフヤワタシヤワタシナデ
京都府八幡市八幡柴座	キョウトフヤワタシヤワタシバザ
京都府八幡市八幡清水井	キョウトフヤワタシヤワタシミズイ
京都府八幡市八幡菖蒲池	キョウトフヤワタシヤワタショウブイケ
京都府八幡市八幡軸	キョウトフヤワタシヤワタジク
京都府八幡市八幡城ノ内	キョウトフヤワタシヤワタジョウノウチ
京都府八幡市八幡水珀	キョウトフヤワタシヤワタスイハク
京都府八幡市八幡隅田口	キョウトフヤワタシヤワタスミダグチ
京都府八幡市八幡千束	キョウトフヤワタシヤワタセンゾク
京都府八幡市八幡双栗	キョウトフヤワタシヤワタソグリ
京都府八幡市八幡園内	キョウトフヤワタシヤワタソノウチ
京都府八幡市八幡高畑	キョウトフヤワタシヤワタタカバタケ
京都府八幡市八幡高坊	キョウトフヤワタシヤワタタカボウ
京都府八幡市八幡旦所	キョウトフヤワタシヤワタダンジョ
京都府八幡市八幡月夜田	キョウトフヤワタシヤワタツキヨダ
京都府八幡市八幡東林	キョウトフヤワタシヤワタトウリン
京都府八幡市八幡土井	キョウトフヤワタシヤワタドイ
京都府八幡市八幡苗田	キョウトフヤワタシヤワタナエダ
京都府八幡市八幡中ノ山	キョウトフヤワタシヤワタナカノヤマ
京都府八幡市八幡長谷	キョウトフヤワタシヤワタナガタニ
京都府八幡市八幡長町	キョウトフヤワタシヤワタナガマチ
京都府八幡市八幡名残	キョウトフヤワタシヤワタナゴリ
京都府八幡市八幡西島	キョウトフヤワタシヤワタニシジマ
京都府八幡市八幡西高坊	キョウトフヤワタシヤワタニシタカボウ
京都府八幡市八幡馬場	キョウトフヤワタシヤワタババ
京都府八幡市八幡番賀	キョウトフヤワタシヤワタバンガ
京都府八幡市八幡東浦	キョウトフヤワタシヤワタヒガシウラ
京都府八幡市八幡東島	キョウトフヤワタシヤワタヒガシジマ
京都府八幡市八幡樋ノ口	キョウトフヤワタシヤワタヒノクチ
京都府八幡市八幡平田	キョウトフヤワタシヤワタヒラタ
京都府八幡市八幡平ノ山	キョウトフヤワタシヤワタヒラノヤマ
京都府八幡市八幡広門	キョウトフヤワタシヤワタヒロカド
京都府八幡市八幡備前	キョウトフヤワタシヤワタビゼン
京都府八幡市八幡平谷	キョウトフヤワタシヤワタビョウダニ
京都府八幡市八幡福禄谷	キョウトフヤワタシヤワタフクロクダニ
京都府八幡市八幡舞台	キョウトフヤワタシヤワタブタイ
京都府八幡市八幡松原	キョウトフヤワタシヤワタマツバラ
京都府八幡市八幡南山	キョウトフヤワタシヤワタミナミヤマ
京都府八幡市八幡武蔵芝	キョウトフヤワタシヤワタムサシシバ
京都府八幡市八幡森	キョウトフヤワタシヤワタモリ
京都府八幡市八幡森垣内	キョウトフヤワタシヤワタモリガイト
京都府八幡市八幡焼木	キョウトフヤワタシヤワタヤケギ
京都府八幡市八幡八萩	キョウトフヤワタシヤワタヤハギ
京都府八幡市八幡山下	キョウトフヤワタシヤワタヤマシタ
京都府八幡市八幡山柴	キョウトフヤワタシヤワタヤマシバ
京都府八幡市八幡山路	キョウトフヤワタシヤワタヤマジ
京都府八幡市八幡山田	キョウトフヤワタシヤワタヤマダ
京都府八幡市八幡山本	キョウトフヤワタシヤワタヤマモト
京都府八幡市八幡吉野	キョウトフヤワタシヤワタヨシノ
京都府八幡市八幡吉野垣内	キョウトフヤワタシヤワタヨシノガイト
京都府八幡市八幡吉原	キョウトフヤワタシヤワタヨシハラ
京都府八幡市八幡渡ル瀬	キョウトフヤワタシヤワタワタルセ
京都府八幡菖蒲池	キョウトフヤワタショウブイケ
京都府八幡軸	キョウトフヤワタジク
京都府八幡城ノ内	キョウトフヤワタジョウノウチ
京都府八幡水珀	キョウトフヤワタスイハク
京都府八幡隅田口	キョウトフヤワタスミダグチ
京都府八幡千束	キョウトフヤワタセンゾク
京都府八幡双栗	キョウトフヤワタソグリ
京都府八幡園内	キョウトフヤワタソノウチ
京都府八幡高畑	キョウトフヤワタタカバタケ
京都府八幡高坊	キョウトフヤワタタカボウ
京都府八幡旦所	キョウトフヤワタダンジョ
京都府矢幡町	キョウトフヤワタチョウ
京都府八幡月夜田	キョウトフヤワタツキヨダ
京都府八幡東林	キョウトフヤワタトウリン
京都府八幡土井	キョウトフヤワタドイ
京都府八幡苗田	キョウトフヤワタナエダ
京都府八幡中ノ山	キョウトフヤワタナカノヤマ
京都府八幡長谷	キョウトフヤワタナガタニ
京都府八幡長町	キョウトフヤワタナガマチ
京都府八幡名残	キョウトフヤワタナゴリ
京都府八幡西島	キョウトフヤワタニシジマ
京都府八幡西高坊	キョウトフヤワタニシタカボウ
京都府八幡馬場	キョウトフヤワタババ
京都府八幡番賀	キョウトフヤワタバンガ
京都府八幡東浦	キョウトフヤワタヒガシウラ
京都府八幡東島	キョウトフヤワタヒガシジマ
京都府八幡樋ノ口	キョウトフヤワタヒノクチ
京都府八幡平田	キョウトフヤワタヒラタ
京都府八幡平ノ山	キョウトフヤワタヒラノヤマ
京都府八幡広門	キョウトフヤワタヒロカド
京都府八幡備前	キョウトフヤワタビゼン
京都府八幡平谷	キョウトフヤワタビョウダニ
京都府八幡福禄谷	キョウトフヤワタフクロクダニ
京都府八幡舞台	キョウトフヤワタブタイ
京都府八幡松原	キョウトフヤワタマツバラ
京都府八幡南山	キョウトフヤワタミナミヤマ
京都府八幡武蔵芝	キョウトフヤワタムサシシバ
京都府八幡森	キョウトフヤワタモリ
京都府八幡森垣内	キョウトフヤワタモリガイト
京都府八幡焼木	キョウトフヤワタヤケギ
京都府八幡八萩	キョウトフヤワタヤハギ
京都府八幡山下	キョウトフヤワタヤマシタ
京都府八幡山柴	キョウトフヤワタヤマシバ
京都府八幡山路	キョウトフヤワタヤマジ
京都府八幡山田	キョウトフヤワタヤマダ
京都府八幡山本	キョウトフヤワタヤマモト
京都府八幡吉野	キョウトフヤワタヨシノ
京都府八幡吉野垣内	キョウトフヤワタヨシノガイト
京都府八幡吉原	キョウトフヤワタヨシハラ
京都府八幡渡ル瀬	キョウトフヤワタワタルセ
京都府矢原	キョウトフヤワラ
京都府夕顔町	キョウトフユウガオチョウ
京都府遊行前町	キョウトフユウギョウマエチョウ
京都府夕陽が丘	キョウトフユウヒガオカ
京都府行永	キョウトフユキナガ
京都府行永桜通り	キョウトフユキナガサクラドオリ
京都府行永東町	キョウトフユキナガヒガシマチ
京都府行衛町	キョウトフユクエチョウ
京都府油江	キョウトフユゴ
京都府柚之木町	キョウトフユノキチョウ
京都府湯船	キョウトフユブネ
京都府弓木	キョウトフユミキ
京都府弓矢町	キョウトフユミヤチョウ
京都府湯屋谷	キョウトフユヤダニ
京都府由良	キョウトフユラ
京都府養安町	キョウトフヨウアンチョウ
京都府洋菓子工業協同組合	キョウトフヨウガシコウギョウキョ
京都府要法寺町	キョウトフヨウホウジチョウ
京都府要法寺前町	キョウトフヨウホウジマエチョウ
京都府横大路一本木	キョウトフヨコオオジイッポンギ
京都府横大路柿ノ本町	キョウトフヨコオオジカキノモトチョウ
京都府横大路上ノ浜町	キョウトフヨコオオジカミノハマチョウ
京都府横大路北ノ口町	キョウトフヨコオオジキタノクチチョウ
京都府横大路貴船	キョウトフヨコオオジキフネ
京都府横大路草津町	キョウトフヨコオオジクサツチョウ
京都府横大路畔ノ内	キョウトフヨコオオジクロノウチ
京都府横大路鍬ノ本	キョウトフヨコオオジクワノモト
京都府横大路西海道	キョウトフヨコオオジサイカイドウ
京都府横大路芝生	キョウトフヨコオオジシバフ
京都府横大路下ノ坪	キョウトフヨコオオジシモノツボ
京都府横大路下三栖梶原町	キョウトフヨコオオジシモミスカジワラチョウ
京都府横大路下三栖里ノ内	キョウトフヨコオオジシモミスサトノウチ
京都府横大路下三栖城ノ前町	キョウトフヨコオオジシモミスジョウノマエチョウ
京都府横大路下三栖辻堂町	キョウトフヨコオオジシモミスツジドウチョウ
京都府横大路下三栖南郷	キョウトフヨコオオジシモミスナンゴウ
京都府横大路下三栖東ノ口	キョウトフヨコオオジシモミスヒガシノクチ
京都府横大路下三栖宮ノ後	キョウトフヨコオオジシモミスミヤノゴウ
京都府横大路下三栖山殿	キョウトフヨコオオジシモミスヤマデン
京都府横大路朱雀	キョウトフヨコオオジシュジャク
京都府横大路神宮寺	キョウトフヨコオオジジングウジ
京都府横大路菅本	キョウトフヨコオオジスガモト
京都府横大路千両松町	キョウトフヨコオオジセンリョウマツチョウ
京都府横大路龍ケ池	キョウトフヨコオオジタツガイケ
京都府横大路天王後	キョウトフヨコオオジテンノウゴウ
京都府横大路天王前	キョウトフヨコオオジテンノウマエ
京都府横大路富ノ森町	キョウトフヨコオオジトミノモリチョウ
京都府横大路中ノ島町	キョウトフヨコオオジナカノシマチョウ
京都府横大路中ノ庄町	キョウトフヨコオオジナカノショウチョウ
京都府横大路長畑町	キョウトフヨコオオジナガハタチョウ
京都府横大路沼	キョウトフヨコオオジヌマ
京都府横大路橋本	キョウトフヨコオオジハシモト
京都府横大路畑中町	キョウトフヨコオオジハタナカチョウ
京都府横大路八反田	キョウトフヨコオオジハッタンダ
京都府横大路東裏町	キョウトフヨコオオジヒガシウラチョウ
京都府横大路前川町	キョウトフヨコオオジマエガワチョウ
京都府横大路松林	キョウトフヨコオオジマツバヤシ
京都府横大路三栖池田屋敷町	キョウトフヨコオオジミスイケダヤシキチョウ
京都府横大路三栖木下屋敷町	キョウトフヨコオオジミスキノシタヤシキチョウ
京都府横大路三栖大黒町	キョウトフヨコオオジミスダイコクチョウ
京都府横大路三栖泥町跡町	キョウトフヨコオオジミスドロマチアトチョウ
京都府横大路三栖山城屋敷町	キョウトフヨコオオジミスヤマシロヤシキチョウ
京都府横大路六反畑	キョウトフヨコオオジロクタンハタ
京都府横大宮町	キョウトフヨコオオミヤチョウ
京都府横鍛冶町	キョウトフヨコカジチョウ
京都府横神明町	キョウトフヨコシンメイチョウ
京都府横諏訪町	キョウトフヨコスワンチョウ
京都府横町	キョウトフヨコチョウ
京都府与謝野町	キョウトフヨサノチョウ
京都府与謝野町明石	キョウトフヨサノチョウアケシ
京都府与謝野町温江	キョウトフヨサノチョウアツエ
京都府与謝野町幾地	キョウトフヨサノチョウイクジ
京都府与謝野町石川	キョウトフヨサノチョウイシカワ
京都府与謝野町岩滝	キョウトフヨサノチョウイワタキ
京都府与謝野町岩屋	キョウトフヨサノチョウイワヤ
京都府与謝野町後野	キョウトフヨサノチョウウシロノ
京都府与謝野町男山	キョウトフヨサノチョウオトコヤマ
京都府与謝野町香河	キョウトフヨサノチョウカゴ
京都府与謝野町金屋	キョウトフヨサノチョウカナヤ
京都府与謝野町上山田	キョウトフヨサノチョウカミヤマダ
京都府与謝野町加悦	キョウトフヨサノチョウカヤ
京都府与謝野町加悦奥	キョウトフヨサノチョウカヤオク
京都府与謝野町算所	キョウトフヨサノチョウサンジョ
京都府与謝野町下山田	キョウトフヨサノチョウシモヤマダ
京都府与謝野町滝	キョウトフヨサノチョウタキ
京都府与謝野町三河内	キョウトフヨサノチョウミゴウチ
京都府与謝野町弓木	キョウトフヨサノチョウユミキ
京都府与謝野町与謝	キョウトフヨサノチョウヨザ
京都府与謝野町四辻	キョウトフヨサノチョウヨツツジ
京都府与謝	キョウトフヨザ
京都府吉川町穴川	キョウトフヨシカワチョウアナガワ
京都府吉川町吉田	キョウトフヨシカワチョウヨシダ
京都府葭島金井戸町	キョウトフヨシジマカナイドチョウ
京都府葭島矢倉町	キョウトフヨシジマヤグラチョウ
京都府葭島渡場島町	キョウトフヨシジマワタシバジマチョウ
京都府吉田	キョウトフヨシダ
京都府吉田泉殿町	キョウトフヨシダイズミドノチョウ
京都府吉田牛ノ宮町	キョウトフヨシダウシノミヤチョウ
京都府吉田神楽岡町	キョウトフヨシダカグラオカチョウ
京都府吉田上阿達町	キョウトフヨシダカミアダチチョウ
京都府吉田上大路町	キョウトフヨシダカミオオジチョウ
京都府吉田河原町	キョウトフヨシダカワラチョウ
京都府吉田近衛町	キョウトフヨシダコノエチョウ
京都府吉田下阿達町	キョウトフヨシダシモアダチチョウ
京都府吉田下大路町	キョウトフヨシダシモオオジチョウ
京都府吉田橘町	キョウトフヨシダタチバナチョウ
京都府吉田中阿達町	キョウトフヨシダナカアダチチョウ
京都府吉田中大路町	キョウトフヨシダナカオオジチョウ
京都府吉田二本松町	キョウトフヨシダニホンマツチョウ
京都府吉田本町	キョウトフヨシダホンマチ
京都府吉永町	キョウトフヨシナガチョウ
京都府吉野	キョウトフヨシノ
京都府吉野町	キョウトフヨシノチョウ
京都府芳野町	キョウトフヨシノチョウ
京都府吉原	キョウトフヨシハラ
京都府吉水町	キョウトフヨシミズチョウ
京都府四辻	キョウトフヨツツジ
京都府四ツ塚町	キョウトフヨツヅカチョウ
京都府淀池上町	キョウトフヨドイケガミチョウ
京都府淀大下津町	キョウトフヨドオオシモヅチョウ
京都府淀川顔町	キョウトフヨドカワヅラチョウ
京都府淀木津町	キョウトフヨドキヅチョウ
京都府淀際目町	キョウトフヨドサイメチョウ
京都府淀下津町	キョウトフヨドシモヅチョウ
京都府淀新町	キョウトフヨドシンマチ
京都府淀生津町	キョウトフヨドナマヅチョウ
京都府淀樋爪町	キョウトフヨドヒヅメチョウ
京都府淀本町	キョウトフヨドホンマチ
京都府淀水垂町	キョウトフヨドミズタレチョウ
京都府淀美豆町	キョウトフヨドミヅチョウ
京都府与保呂	キョウトフヨホロ
京都府万町	キョウトフヨロズマチ
京都府万屋町	キョウトフヨロズヤチョウ
京都府四町目	キョウトフヨンチョウメ
京都府四丁目	キョウトフヨンチョウメ
京都府四番町	キョウトフヨンバンチョウ
京都府来迎堂町	キョウトフライコウドウチョウ
京都府立洛西浄化センター公園	キョウトフラクサイニシジョウカセンターコウエン
京都府立洛南病院	キョウトフラクナンビョウイン
京都フラッシュニュース	キョウトフラッシュニュース
京都府利生町	キョウトフリセイチョウ
京都府立網野高等学校	キョウトフリツアミノコウトウガッコウ
京都府立綾部高等学校	キョウトフリツアヤベコウトウガッコウ
京都府立医科大	キョウトフリツイカダイ
京都府立医科大学	キョウトフリツイカダイガク
京都府立医科大学附属病院	キョウトフリツイカダイガクフゾクビョウイン
京都府立医科大学附属北部医療センター	キョウトフリツイカダイガクフゾクホクブイリョウセンター
京都府立医大	キョウトフリツイダイ
京都府立医大病院	キョウトフリツイダイビョウイン
京都府立宇治支援学校	キョウトフリツウジシエンガッコウ
京都府立大江高等学校	キョウトフリツオオエコウトウガッ
京都府立大江高等学校	キョウトフリツオオエコウトウガッコウ
京都府立乙訓高等学校	キョウトフリツオトクニコウトウガッコウ
京都府立海洋高等学校	キョウトフリツカイヨウコウトウガッコウ
京都府立桂高等学校	キョウトフリツカツラコウトウガッコウ
京都府立亀岡高等学校	キョウトフリツカメオカコウトウガッコウ
京都府立加悦谷高等学校	キョウトフリツカヤダニコウトウガッコウ
京都府立北桑田高等学校	キョウトフリツキタクワダコウトウガッコウ
京都府立北嵯峨高等学校	キョウトフリツキタサガコウトウガ
京都府立北嵯峨高等学校	キョウトフリツキタサガコウトウガッコウ
京都府立木津高等学校	キョウトフリツキヅコウトウガッコウ
京都府立京都学歴彩館	キョウトフリツキョウトガクレキサイカン
京都府立京都学・歴彩館	キョウトフリツキョウトガクレキサイカン
京都府立京都すばる高等学校	キョウトフリツキョウトスバルコウトウガッコウ
京都府立京都八幡高等学校	キョウトフリツキョウトヤワタコウトウガッコウ
京都府立京都八幡高等学校北キャンパス	キョウトフリツキョウトヤワタコウトウガッコウキタキャンパス
京都府立京都八幡高等学校南キャンパス	キョウトフリツキョウトヤワタコウトウガッコウミナミキャンパス
京都府立久美浜高等学校	キョウトフリツクミハマコウトウガッコウ
京都府立久御山高等学校	キョウトフリツクミヤマコウトウガッコウ
京都府立工業高等学校	キョウトフリツコウギョウコウトウガッコウ
京都府立向陽高等学校	キョウトフリツコウヨウコウトウガッコウ
京都府立嵯峨野高等学校	キョウトフリツサガノコウトウガッ
京都府立嵯峨野高等学校	キョウトフリツサガノコウトウガッコウ
京都府立須知高等学校	キョウトフリツシュウチコウトウガッコウ
京都府立商業高等学校	キョウトフリツショウギョウコウトウガッコウ
京都府立植物園	キョウトフリツショクブツエン
京都府立城南高等学校	キョウトフリツジョウナンコウトウガッコウ
京都府立城南菱創高等学校	キョウトフリツジョウナンリョウソウコウトウガッコウ
京都府立城陽高等学校	キョウトフリツジョウヨウコウトウガッコウ
京都府立城陽支援学校	キョウトフリツジョウヨウシエンガッコウ
京都府立女子専門学校	キョウトフリツジョシセンモンガッコウ
京都府立朱雀高等学校	キョウトフリツスザクコウトウガッコウ
京都府立清明高等学校	キョウトフリツセイメイコウトウガッコウ
京都府立総合資料館	キョウトフリツソウゴウシリョウカン
京都府立園部高等学校附属中学校	キョウトフリツソノベコウトウガッコウフゾクチュウガッコウ
京都府立園部高等学校・附属中学校	キョウトフリツソノベコウトウガッコウフゾクチュウガッコウ
京都府立体育館	キョウトフリツタイイクカン
京都府立田辺高等学校	キョウトフリツタナベコウトウガッコウ
京都府立丹後緑風高等学校	キョウトフリツタンゴリョクフウコウトウガッコウ
京都府立丹波支援学校	キョウトフリツタンバシエンガッコウ
京都府立丹波支援学校亀岡分校	キョウトフリツタンバシエンガッコウカメオカブンコウ
京都府立丹波自然運動公園	キョウトフリツタンバシゼンウンドウコウエン
京都府立大	キョウトフリツダイ
京都府立大学	キョウトフリツダイガク
京都府立中丹支援学校	キョウトフリツチュウタンシエンガッコウ
京都府立陶板名画の庭	キョウトフリツトウバンメイガノニワ
京都府立東稜高等学校	キョウトフリツトウリョウトウガッコウ
京都府立図書館	キョウトフリツトショカン
京都府立莵道高等学校	キョウトフリツトドウコウトウガッコウ
京都府立鳥羽高等学校	キョウトフリツトバコウトウガッコ
京都府立鳥羽高等学校	キョウトフリツトバコウトウガッコウ
京都府立堂本印象美術館	キョウトフリツドウモトインショウビジュツカン
京都府立南丹高等学校	キョウトフリツナンタンコウトウガッコウ
京都府立南陽高等学校附属中学校	キョウトフリツナンヨウコウトウガッコウフゾクチュウガッコウ
京都府立南陽高等学校・附属中学校	キョウトフリツナンヨウコウトウガッコウフゾクチュウガッコウ
京都府立西宇治高等学校	キョウトフリツニシウジコウトウガッコウ
京都府立西乙訓高等学校	キョウトフリツニシオトクニコウトウガッコウ
京都府立西城陽高等学校	キョウトフリツニシジョウヨウコウトウガッコウ
京都府立西舞鶴高等学校	キョウトフリツニシマイヅルコウトウガッコウ
京都府立農業大学校	キョウトフリツノウギョウダイガッコウ
京都府立農林水産技術センター海洋センター	キョウトフリツノウリンスイサンギジュツセンターカイヨウセンター
京都府立農林専門学校	キョウトフリツノウリンセンモンガッコウ
